dimension_set,query,strategy,threshold_bytes,threshold_label,run,status,elapsed_s,setup_s,groups,total,bhj,smj,shuffle,bcast_ex,exchanges,bcast_ms,bcast_bytes,plan_file
dim10mb,q2,auto,2512573,admits-3:date+supplier+part,4,ok,17.00,,40,120015240211.4,3,1,4,3,7,3742,82026432,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-3:date+supplier+part-r4.txt
dim10mb,q2,auto,7876670,admits-4:date+supplier+part+customer,4,ok,12.79,,40,120015240211.4,4,0,2,4,6,3919,139580832,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-4:date+supplier+part+customer-r4.txt
dim10mb,q2,auto,63013352,above-all-8x,4,ok,12.91,,40,120015240211.4,4,0,2,4,6,4258,139580832,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-above-all-8x-r4.txt
dim10mb,q2,joinless,-1,pattern,5,ok,18.55,4.30,40,120015240211.4,0,0,2,0,2,0,0,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-joinless-pattern-r5.txt
dim10mb,q2,auto,10485760,default-10MiB,5,ok,12.74,,40,120015240211.4,4,0,2,4,6,4283,139580832,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-default-10MiB-r5.txt
dim10mb,q2,auto,22821,admits-1:date,5,ok,21.95,,40,120015240211.4,1,3,8,1,9,463,1069024,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-1:date-r5.txt
dim10mb,q2,auto,363779,admits-2:date+supplier,5,ok,19.67,,40,120015240211.4,2,2,6,2,8,2357,3717568,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-2:date+supplier-r5.txt
dim10mb,q2,auto,2512573,admits-3:date+supplier+part,5,ok,16.71,,40,120015240211.4,3,1,4,3,7,2421,82026432,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-3:date+supplier+part-r5.txt
dim10mb,q2,auto,7876670,admits-4:date+supplier+part+customer,5,ok,13.17,,40,120015240211.4,4,0,2,4,6,3423,139580832,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-4:date+supplier+part+customer-r5.txt
dim10mb,q2,auto,63013352,above-all-8x,5,ok,13.25,,40,120015240211.4,4,0,2,4,6,3984,139580832,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-above-all-8x-r5.txt
dim100mb,q2,joinless,-1,pattern,1,ok,27.57,13.30,40,120015240211.4,0,0,2,0,2,0,0,/home/athenas/JPP/JPP/results/plans/dim100mb/q2-joinless-pattern-r1.txt
dim100mb,q2,auto,10485760,default-10MiB,1,ok,21.32,,40,120015240211.4,3,1,4,3,7,3124,82026432,/home/athenas/JPP/JPP/results/plans/dim100mb/q2-auto-default-10MiB-r1.txt
dim100mb,q2,auto,22821,admits-1:date,1,ok,25.60,,40,120015240211.4,1,3,8,1,9,447,1069024,/home/athenas/JPP/JPP/results/plans/dim100mb/q2-auto-admits-1:date-r1.txt
dim100mb,q2,auto,363779,admits-2:date+supplier,1,ok,23.79,,40,120015240211.4,2,2,6,2,8,1214,3717568,/home/athenas/JPP/JPP/results/plans/dim100mb/q2-auto-admits-2:date+supplier-r1.txt
dim100mb,q2,auto,2512573,admits-3:date+supplier+part,1,ok,20.38,,40,120015240211.4,3,1,4,3,7,2511,82026432,/home/athenas/JPP/JPP/results/plans/dim100mb/q2-auto-admits-3:date+supplier+part-r1.txt
dim100mb,q2,auto,66777535,admits-4:date+supplier+part+customer,1,ok,15.06,,40,120015240211.4,4,0,2,4,6,7684,554258776,/home/athenas/JPP/JPP/results/plans/dim100mb/q2-auto-admits-4:date+supplier+part+customer-r1.txt
dim100mb,q2,auto,534220272,above-all-8x,1,ok,15.10,,40,120015240211.4,4,0,2,4,6,7247,554258776,/home/athenas/JPP/JPP/results/plans/dim100mb/q2-auto-above-all-8x-r1.txt
dim100mb,q2,joinless,-1,pattern,2,ok,27.89,13.98,40,120015240211.4,0,0,2,0,2,0,0,/home/athenas/JPP/JPP/results/plans/dim100mb/q2-joinless-pattern-r2.txt
dim100mb,q2,auto,10485760,default-10MiB,2,ok,20.95,,40,120015240211.4,3,1,4,3,7,2578,82026432,/home/athenas/JPP/JPP/results/plans/dim100mb/q2-auto-default-10MiB-r2.txt
dim100mb,q2,auto,22821,admits-1:date,2,ok,26.21,,40,120015240211.4,1,3,8,1,9,708,1069024,/home/athenas/JPP/JPP/results/plans/dim100mb/q2-auto-admits-1:date-r2.txt
dim100mb,q2,auto,363779,admits-2:date+supplier,2,ok,23.38,,40,120015240211.4,2,2,6,2,8,1593,3717568,/home/athenas/JPP/JPP/results/plans/dim100mb/q2-auto-admits-2:date+supplier-r2.txt
dim100mb,q2,auto,2512573,admits-3:date+supplier+part,2,ok,21.51,,40,120015240211.4,3,1,4,3,7,2592,82026432,/home/athenas/JPP/JPP/results/plans/dim100mb/q2-auto-admits-3:date+supplier+part-r2.txt
dim100mb,q2,auto,66777535,admits-4:date+supplier+part+customer,2,ok,14.20,,40,120015240211.4,4,0,2,4,6,5487,554258776,/home/athenas/JPP/JPP/results/plans/dim100mb/q2-auto-admits-4:date+supplier+part+customer-r2.txt
dim100mb,q2,auto,534220272,above-all-8x,2,ok,14.38,,40,120015240211.4,4,0,2,4,6,6642,554258776,/home/athenas/JPP/JPP/results/plans/dim100mb/q2-auto-above-all-8x-r2.txt
dim100mb,q2,joinless,-1,pattern,3,ok,27.24,12.71,40,120015240211.4,0,0,2,0,2,0,0,/home/athenas/JPP/JPP/results/plans/dim100mb/q2-joinless-pattern-r3.txt
